County,Parent Agency ID,Partner Agency Program No.,Partner Agency Name,c_Address,c_City,c_Post_Code,c_Delivery_Info,Partner Agency Type,FoodFinder-Table1.sl_phone
DURHAM,D1025,D1025FP,Church of Philadelphia,1309 Jackson St,Durham,27701,Every Sunday from 1PM - 3 PM,FOODPANTRY,919-286-0547
DURHAM,D1026,D1026FP,CIP,101 S Driver St,Durham,27703,Call for Appointment,FOODPANTRY,910.261.4015
VANCE,D1029,D1029FP,Cotton Memorial,511 N Chestnut St,Henderson,27536,2nd and 4th Saturdays 9am-10am,FOODPANTRY,252-492-3478
ORANGE,D1030,D1030DD,Carr Methodist Church,8200 NC 49 North,Cedar Grove,27231,4th Friday of Each Month at 8am,DIRECT DST,919-563-4364
DURHAM,D1033,D1033FP,Divine Grace Fellowship,1500-A E Club Blvd Bldg 100,Durham,27703,"Monday -Friday, By Appointment",FOODPANTRY,919-638-2227
DURHAM,D1041,D1041FP,Emanuel Tabernacle Holiness,2525 Atlantic St,Durham,27707,1st and 3rd Thursday of each Month from 10:30am-12:00pm,FOODPANTRY,919-641-1646
DURHAM,D1043,D1043FP,Faith Gospel Tabernacle,663 Troy St,Durham,27703,Thursdays 8:30 - 10:30am,FOODPANTRY,919-596-4533
DURHAM,D1049,D1049FP,First Calvary Baptist Church,1311 Morehead Ave,Durham,27707,"Tuesdays & Thursdays, 10:00am-12:00pm",FOODPANTRY,919-489-4184
DURHAM,D1050,D1050FP,Fisher Memorial,420 E Piedmont Ave,Durham,27707,Every Wednesday from 12:00 noon until 1:00 p.m,FOODPANTRY,919-682-7416
VANCE,D1059,D1059FP,Gang Free INC,608 Harriett St,Henderson,27536,"Wednesdays 12:00PM to 3:00PM, 3rd Friday TEFAP drive thru distribution 8:00AM",FOODPANTRY,252-598-0067
ORANGE,D1060,D1060DD,Grace and Peace Tabernacle,600 E Washington St,Mebane,27302,"Monday thru Sunday 1:00PM to 3:00PM, 2nd Monday 2:00PM Drive Thru, 4th Tuesday 5:00PM to 6:00PM Drive Thru",DIRECT DST,336-223-9225
DURHAM,D1061,D1061FP,Mom and Pops Giving Closet,1417 Cole Mill Rd,Durham,27705,Tuesday 4:00 PM - 6:00 PM and 3rd Saturday 10:00 AM - Noon,FOODPANTRY,
DURHAM,D1062,D1062FP,Grace Outreach Enrichment,612 Gary St,Durham,27703,"Monday - Friday 10:30am - 12:00pm, 2nd and 4th Saturday 10:00am - 12:00pm",FOODPANTRY,919.423.3215
PERSON,D1063,D1063FP,Greater Deliverance Tabernacle,199 Flat River Rd,Roxboro,27574,"Saturdays 11:00AM to 1:00PM by appointment please call (336)592-0640, Sundays 1:00PM-3:00PM",FOODPANTRY,(336)592-0640
DURHAM,D1064,D1064FP,Hannah's Community Kitchen,5524 N Roxboro Rd,Durham,27712,M-F 12pm-1pm,FOODPANTRY,919-358-2048
VANCE,D1065,D1065FP,Greater Ransom Way of the,90 South Lake Lodge Ext,Henderson,27537,1st and 3rd Saturdays from 9:00 am until 12:00 noon,FOODPANTRY,919-693-1511
DURHAM,D1066,D1066FP,Greater Refuge Temple,1438 Maplewood Dr,Durham,27704,3rd Wednesdays 10:00am-12:00pm,FOODPANTRY,919-608-7525
DURHAM,D1072,D1072FP,Healing With CAARE,214 Broadway St,Durham,27701,Tuesday/Wednesday 11-1:30; Fridays emergency only,FOODPANTRY,919-683-5300
ORANGE,D1073,D1073FP,Hillsborough Church Of God,2412 HWY 86 S,Hillsborough,27278,"2nd, 3rd and 4th Thursdays from 10:00AM to 12:00PM, Drive Thru",FOODPANTRY,919-923-0812
DURHAM,D1075,D1075FP,Emanuel Food Pantry,2504 N Roxboro St,Durham,27704,Wednesday from 5:30-6pm Bread on Fridays,FOODPANTRY,
DURHAM,D1076,D1076FP,Immanuel Temple SDA Community,2102 S Alston Ave,Durham,27707,1st & 2nd Wed 10-1pm; and as needed,FOODPANTRY,919.957.0032
ORANGE,D1077,D1077FP,Inter-Faith Council Community Market,110 West Main St,Carrboro,27510,"Monday-Friday, 9am-5pm; Tues & Wed 5-7pm",FOODPANTRY,"919-929-6380, Choose ""0"""
ORANGE,D1077,D1077SK,Inter-Faith Council Community Kitchen,110 West Main St,Carrboro,27510,Breakfast at 6:15-7am; lunch at 11:15am-12:30pm; dinner at 6:15-7pm,SOUP KITCH,(919)929-6380
DURHAM,D1086,D1086FP,Kings Park Church,1305 Odyssey Dr,Durham,27713,Wednesday's from 5:00PM to 6:00PM,FOODPANTRY,321-246-6344
VANCE,D1087,D1087FP,Kitrell Shiloh Missionary,1390 S Chavis Rd,Kitrell,27544,"2nd and 4th Saturday, 9:30-10:30am",FOODPANTRY,252-492-8152
GRANVILLE,D1089,D1089FP,Living Stones,6096 Tabbs Creek Rd,Oxford,27565,"1st Monday of the month 3-5PM,3rd Sunday from 1PM-4PM ",FOODPANTRY,919-482-9688
ORANGE,D1095,D1095DD,Mebane's Chapel United Holy,421 Union St,Hillsborough,27278,First Friday of the month at 11:00AM,DIRECT DST,919-225-1228
DURHAM,D1097,D1097FP,Ministerios Guerreros De JesúCristo International,1800 N Roxboro St,Durham,27701,Wednesds 9:30am-12:00pm,FOODPANTRY,919-395-7539
DURHAM,D1099,D1099FP,Mt Bethel United Methodist,1605 Bahama Rd,Durham,27503,Saturdays 9:30am -11:30am,FOODPANTRY,919-414-5407
VANCE,D1103,D1103FP,Mt Zion Christian Church,995 Burr St,Henderson,27536,Thurs 2-4pm,FOODPANTRY,252-430-7277 Ext 24
PERSON,D1105,D1105FP,Oak Grove Community,854 Oak Grove Mt Zion Rd,Roxboro,27574,"2nd Friday 5:00Pm to 7:00PM, 3rd Friday 9:00AM to 11:00AM By Appt only please call (336)503-3992",FOODPANTRY,336-503-3992
DURHAM,D1106,D1106FP,Oak Grove UA Free Will Baptist,1008A Simmons St,Durham,27701,"Tuesdays 9:00am -12:00pm, Thursday 9:30am - 12:30pm",FOODPANTRY,919-680-2927
DURHAM,D1107,D1107FP,Obedience To The Word,644 Bon Air Ave,Durham,27704,Wednesdays 10:00am-11:00am,FOODPANTRY,919-282-7277
ORANGE,D1110,D1110FP,Orange Congregations Mission,300 Millstone Dr,Hillsborough,27278,Monday thru Friday 9:00Am to 4:30PM by appt,FOODPANTRY,919-732-6194 Ext 12
GRANVILLE,D1114,D1114DD,Oxford Speaks Life Church House of Ministries,512 Granville St,Oxford,27565,Second Monday 11:00AM till 2:00PM,DIRECT DST,(919)939-3101
GRANVILLE,D1116,D1116FP,Pettiford Grove Baptist Church,3579 Cannady Mill Rd,Kittrell,27544,2nd Monday 11:30 am - 2:00 pm & the following Day Tuesday 4:00 pm - 6:00 pm,FOODPANTRY,919-605-7051
GRANVILLE,D1117,D1117FP,Pine Grove Baptist Church,1624 Lake Rd/Hwy 56,Creedmoor,27522,"1st & 3rd Thursday/month, 12-2pm; limit one visit/month",FOODPANTRY,919-671-4335
ORANGE,D1123,D1123FP,Rogers-Eubanks Neighborhood,101 Edgar St,Chapel Hill,27516,"2nd Tuesday from 11:00AM to 3:30PM, 3rd Saturday from 10:30AM to 3:30PM drive thru until it is gone",FOODPANTRY,919-918-2822
DURHAM,D1124,D1124FP,Rougemont Food Pantry,105 Red Mountain Rd,Rougemont,27572,1st and 3rd Saturday from 9:00AM to 10:00AM,FOODPANTRY,919.599.0712
DURHAM,D1126,D1126FP,Russell Memorial CME Church,703 S Alston Ave,Durham,27701,Wednesdays 9:00am - 12:00pm,FOODPANTRY,919-682-2523
DURHAM,D1127,D1127FP,Salvation Army-Durham,909 Liberty St,Durham,27701,Fridays 10:00am - 12:00pm,FOODPANTRY,919-688-7306
VANCE,D1129,D1129FP,Salvation Army-Henderson,2292 Ross Mill Rd,Henderson,27537,Monday - Thursday 9:00AM to 3:00PM,FOODPANTRY,252-438-7107
DURHAM,D1130,D1130FP,Seed Time & Harvest Fellowship,804 Berwyn Ave,Durham,27704,"Every Thursday at 11:30, by Appointment",FOODPANTRY,919-220-2896
VANCE,D1131,D1131FP,Shiloh Baptist Church,635 College St,Henderson,27536,Thursday's at 9:00 or by appointment,FOODPANTRY,252-598-0415
ORANGE,D1133,D1133FP,Saint John United Holy Church,607 Pine Acres Rd,Chapel Hill,27516,2nd and 4th Saturdays 10:00AM to 12:00PM,FOODPANTRY,919-967-2318
DURHAM,D1134,D1134FP,Saint John's House of Refuge,1307 W Knox St,Durham,27701,4th Thursday at 11-1pm,FOODPANTRY,919-286-0332
DURHAM,D1135,D1135FP,Saint Joseph AME Church,2521 Fayetteville St,Durham,27707,Wednesdays 2:00pm-3:00pm,FOODPANTRY,(919)682-5454
GRANVILLE,D1149,D1149DD,Upon This Rock Ministry,1206 College St,Oxford,27565,"Ist Friday drive Thru Distribution from 9:00AM Until its gone, Every Tuesday and Friday 9:30AM until.  ",DIRECT DST,919-692-0007
DURHAM,D1150,D1150FP,Urban Ministries Food Pantry,410 Liberty St,Durham,27701,"Mon. and Wed. 1:00pm - 3:00pm, Tues. and Thurs. 9:30am - 11:30am",FOODPANTRY,919-682-0538
DURHAM,D1150,D1150SK,Urban Ministries of Durham,410 Liberty St,Durham,27701,Mon - Fri 8:00am - 9:00am,SOUP KITCH,919-682-0538 Ext161
CHATHAM,D1156,D1156FP,CORA Food Pantry in Siler City,2535 Old US Hwy 421 N,Siler City,27344,"Monday 4:00PM to 6:00PM, Wed 12:00PM to 2:00PM, Friday 12:00PM – 2:00PM, 2nd Saturday of the month 10:00AM – 12:00PM",FOODPANTRY,919-742-3111
DURHAM,D1157,D1157FP,White Rock Baptist Church,3400 Fayetteville St,Durham,27707,2nd Saturday 11:00am - 1:00pm,FOODPANTRY,919-225-0374
VANCE,D1161,D1161DD,Young Memorial,505 Brookston Rd,Henderson,27537,"Drive Thru 1st and 3rd Thursdays 8:00AM until its gone, 4th Wednesday 6:00PM to 7:00PM",DIRECT DST,252-425-1207
PERSON,D1162,D1162FP,Zion Christian Center,2850 Virgilina Rd,Roxboro,27574,2nd and 4th Saturday 9am-12m,FOODPANTRY,(434)222-4624
DURHAM,D1165,D1165DD,Calvary UMC,304 E Trinity St,Durham,27701,1st Monday of every month at 2:00pm,DIRECT DST,919-688-7138
ORANGE,D1174,D1174DD,Hurdle Mills,1701 Jimmy Ed Rd,Hurdle Mills,27541,"1st Thursday at 9:30AM until, Drive Thru",DIRECT DST,919-357-1994
ORANGE,D1175,D1175DD,Piney Grove Baptist Church,1929 Piney Grove Rd,Hillsborough,27278,1st Friday at 1pm,DIRECT DST,919-939-3186
ORANGE,D1183,D1183DD,Hillsborough SDA Church,1808 NC Hwy 86 N,Hillsborough,27278,3rd Monday at 12,DIRECT DST,919-259-1735
DURHAM,D1188,D1188DD,JEWELS Outreach and Networking,1701 Sherman Ave,Durham,27707,2nd Saturday of Each Month at 11am,DIRECT DST,
ORANGE,D1220,D1220FP,Amity United Methodist Church,825 N Estes Dr,Chapel Hill,27514,2nd and 4th Thursdays 10am-12pm,FOODPANTRY,984-234-0055
ORANGE,D1222,D1222DD,Jones Grove Missionary Baptist Church,2713 Coleman Loop Rd,Hillsborough,27278,Direct Distribution 3rd Saturday of the Month from 8AM to 10AM,DIRECT DST,336-214-9273
ORANGE,D1222,D1222FP,Jones Grove Missionary Baptist Church,2713 Coleman Loop Rd,Hillsborough,27278,Open 3rd Friday of the month by appointment only,FOODPANTRY,(336)214-9273
DURHAM,D1257,D1257FP,One Love Ministries,1315 Horton Rd,Durham,27704,2nd Saturday 11am - 1pm,FOODPANTRY,919.688.2163 ext. 7
ORANGE,D1258,D1258DD,Cedar Grove Community Center,5800 NC Hwy 86 N,Hillsborough,27278,2nd Friday 8:15AM until,DIRECT DST,
ORANGE,D1259,D1259DD,Heavenly Manna,117 Richmond Rd,Efland,27243,"1st Monday, 8am-4pm",DIRECT DST,336-539-5870
DURHAM,D1261,D1261FP,Parktown Food Hub,5123 Revere Rd,Durham,27713,1st Monday of every month at 2:00pm,FOODPANTRY,984.484.8475
CHATHAM,D1263,D1263FP,Bonlee Baptist Church,25 Al Davis Rd,Bear Creek,27213,"2nd Wednesday by appointment please call, 4th Wednesday 8:00AM Drive thru distribution",FOODPANTRY,919-675-8965
ORANGE,D1265,D1265FP,Orange County DSS,113 Mayo St,Hillsborough,27278,"TEFAP only, 4th Thursday of the month by appt contact Melissa Black  (919)245-4354",FOODPANTRY,919-245-2800
VANCE,D1266,D1266FP,Cook's Chapel Church,200 Center St,Henderson,27536,"2nd and 4th Tuesday's 1:00PM, and by appointment",FOODPANTRY,919-939-5549
VANCE,D1267,D1267DD,Saints Delight United Holy Church,540 Bullocksville Park Rd,Manson,27553,4th Thursday Drive through distribution at 8:00AM,DIRECT DST,(252)425-4035
GRANVILLE,D1268,D1268FP,New Hope Granville Missionary Baptist Church,5643 Old Roxboro Rd,Oxford,27565,"2nd Friday 9:00AM - 12:00PM, 4th Saturday from 10:00AM - 12:00PM by appointment, call and leave a message",FOODPANTRY,919- 693-2377
DURHAM,D1273,D1273FP,New Home and Durham Missionary Baptist Association,6611 Guess Rd,Durham,27712,3rd Thursday 9:30am - 11:00am & 4th Tuesday 9:30am - 11:00am,FOODPANTRY,(919) 943-5884
GRANVILLE,D1274,D1274FP,Saint Matthew Missionary Baptist Church,8604 Hwy 96,Oxford,27565,"First Friday 10:00AM to 1:00PM, Third Saturday 12:00PM to 2:00PM",FOODPANTRY,919-482-6368
VANCE,D1290,D1290FP,Turning Point Community Development Corporation,2495 US 1/158 HWY,Henderson,27537,"M,W 1:30PM to 5:30PM, 1st Tuesday 3:00PM to 5:30PM, 1st and 3rd Friday 12:00PM to 5:30PM, Saturdays 10:00AM to 12:00PM",FOODPANTRY,252-915-2683
ORANGE,D1293,D1293FP,Hillside Church Food Pantry,201 Culbreth Rd,Chapel Hill,27516,Distributes on 1st and 3rd Saturdays from 11 to 12PM,FOODPANTRY,(919)967-3056
ORANGE,D1300,D1300FP,Life Point Church Storehouse,121 Orange High School Rd,Hillsborough,27278,"1st,2nd and 4th Saturdays at 12:00PM until",FOODPANTRY,919-638-9700
DURHAM,D1302,D1302FP,Community Health Coalition,308 Crutchfield St,Durham,27704,"Monday and Wednesday 1:00pm - 3:00pm, Tuesday and Thursday 9:30am - 11:30am",FOODPANTRY,919.470.8680
DURHAM,D1304,D1304FP,Dream Seekers/Church of the Apostolic Revival Intl,1207 Angier Ave,Durham,27701,Fridays 10:00am - 11:30am,FOODPANTRY,919-371-8321
ORANGE,D1311,D1311DD,Town of Chapel Hill,2000 Eubanks Rd/Chapel Hill Park and Ride lot,Chapel Hill,27614,2nd and 4th Wed 9:30AM until it runs out,DIRECT DST,
LENOIR,G1002,G1002MFP,Alpha and Omega Church,410 E Washington St,Kinston,28501,1st Monday at 8:30am while supplies last,DIRECT DST,252-522-9991
PITT,G1005,G1005FP,An-Nissa 2,1152 Briley Rd,Greenville,27834,Friday from 1p-3p and 1st and 3rd Sunday 1:15p-3:30p; Calls for emergency,FOODPANTRY,252-931-9039
PITT,G1006,G1006FP,Antioch United Holy Church,2659 Railroad St,Bell Arthur,27811,4th Fridays at 9am & calls for emergencies,FOODPANTRY,252-347-4513
PITT,G1008,G1008FP1,Armor of God Christian Church,2648 Mill St,Winterville,28590,"Thursday and Saturday, 8am-9am",FOODPANTRY,252-689-6590
PITT,G1010,G1010FP,Ayden Christian Care Center,109B N West Ave,Ayden,28513,"1st, 2nd, 4th Fridays 9:00-11:30, close 5th Friday of each month and closed July and August",FOODPANTRY,252-746-2995
GREENE,G1018,G1018FP,Bountiful Blessings House of Redemption Inc,1432 Fort Run Rd,Snow Hill,28580,2nd and 4th Tuesday from 1p-3p,FOODPANTRY,919-345-1285
PITT,G1020,G1020FP,Bread of Life,609 Cannon Blvd,Grifton,28530,2nd Friday and 4th Thursday 6-10am,FOODPANTRY,252-524-4041
PITT,G1023,G1023FP,Catholic Charities- Tar River,1746 Union St,Greenville,27834,Tuesday from 10a-3:30pm & emergency calls,FOODPANTRY,252-355-5111
WILSON,G1024,G1024FP,Christ Deliverance Tabernacle,413 E Pender St,Wilson,27893,3rd Wednesday's at 8am and by emergency,FOODPANTRY,252-292-1569
NASH,G1025,G1025FP,Christian Fellowship Homes,301 S Grace St,Rocky Mount,27804,M W F from 4p-4:30p,FOODPANTRY,252-977-1273
PITT,G1027,G1027FP1,Churches Outreach Network,101 W. 14th St,Greenville,27834,Call-in Appointments; Monday through Friday from 9a-8p,FOODPANTRY,252-717-9600
PITT,G1027,G1027FP3,Churches Outreach Network,2921 Briery Swamp Rd,Stokes,27884,"4th Monday, Wednesday, Friday 10:00am-12:00pm",FOODPANTRY,252-413-9713
PITT,G1027,G1027FP4,Churches Outreach Network,1610 W 10th St,Greenville,27834,2nd Tuesday 8am-10am,FOODPANTRY,252-902-5061
LENOIR,G1027,G1027FP5,Churches Outreach Network,306 W King St,LaGrange,28551,3rd Thursday 10a-1p,FOODPANTRY,252-347-1984
PITT,G1036,G1036FP,Emmanuel Community Unison Baptist Church,3501 Speight Seed Farm Rd,Winterville,28590,Every Tuesday/Friday at 12:30pm,FOODPANTRY,252-756-0094
LENOIR,G1037,G1037FP,Faith Developmental Community,655 Sussex St,Kinston,28501, 2nd & 4th Thursdays 1-2pm; TEFAP 3rd Friday 9a-11a,FOODPANTRY,252-686-2859
LENOIR,G1037,G1037MFP,Faith Developmental Community,655 Sussex St,Kinston,28504,3rd Fri 9-11,DIRECT DST,252-806-0026
LENOIR,G1039,G1039FP,First Missionary,201 N Caswell St,LaGrange,28551,Tuesdays/Fridays 2:00pm and emergency food calls to church,FOODPANTRY,252-566-3881
PITT,G1041,G1041FP1,Freedom Family Foundation Inc,"313 Clifton St, Suite B",Greenville,27585,"Monday - Thursday from 10 am - 3pm. By appointment only, call ahead for scheduling",FOODPANTRY,252-283-0171 ext. 101
LENOIR,G1044,G1044FP,Greater St Peter,886 Will Baker Rd,Kinston,28504,4th Friday at 9:30am and emergency calls,FOODPANTRY,252-520-0010
GREENE,G1045,G1045FP,Greene County Interfaith,412 Kingold Blvd,Snow Hill,28580,"1st and 3rd Thursday, 10 am- 1 pm. Drive through. Delivery available.",FOODPANTRY,252-747-1040 / 252-747-1091
PITT,G1048,G1048FP,Grifton Mission Ministries,6499 N Highland Blvd,Grifton,28530,Mondays & Thursdays 9:30am-3:00pm,FOODPANTRY,252-531-1931
LENOIR,G1050,G1050FP,Hands for Humanity CDC,1009 E Bright St,Kinston,28501,Mon-Sat 9AM-12PM,FOODPANTRY,252-523-0871
HALIFAX,G1053,G1053FP,Hobgood Citizens Group,401 Beech St,Hobgood,27843,1st Friday's 11am-4pm and by phone,FOODPANTRY,252-813-3126
HALIFAX,G1057,G1057MFP,Ivory Hill Baptist Church,4505 Medoc Mountain Rd,Enfield,27850,4th Tuesday 11am,DIRECT DST,252-445-2562
PITT,G1058,G1058FP,Joseph Provisions,703 Howell St,Greenville,27834,1st Thursday & 3rd Saturday (TEFAP) from 10a-12p,FOODPANTRY,252-714-3296
WILSON,G1060,G1060FP,Kairos Church Ministry,1003 S Lodge St,Wilson,27893,4th Sat at 8am | calls for emergency food,FOODPANTRY,252-315-2932
PITT,G1062,G1062FP,Kingdom Care Inc,1701 Staton Mill Rd,Greenville,27836,3rd Saturday 10a-12p and calls,FOODPANTRY,252-758-1701
PITT,G1064,G1064FP,Koinonia Christian Center,1405 SW Greenville Blvd,Greenville,27835,2nd Tuesday 12-2pm/4th Wed from 7:30a-9a (TEFAP)/Monday-Friday from 8a-5p ,FOODPANTRY,252-268-6195
EDGECOMBE,G1066,G1066FP,Living Waters Ministries of,7421 US Hwy 258 S,Pinetops,27864,3rd Saturday 8am-9am,FOODPANTRY,252-382-3754
PITT,G1072,G1072FP,Mount Calvary Grace and Mercy Street Ministry,411 Watauga Ave,Greenville,27834,4th Saturday 9am-12pm,FOODPANTRY,252-758-2532
PITT,G1073,G1073MFP,NEEDS Center,9243 W. Marlboro Rd,Farmville,27828,3rd Monday at 10a-12pm,DIRECT DST,
PITT,G1075,G1075FP,Mt Moriah Community Church,4329 Anderson Ave,Farmville,27828,2nd and 4th Thursday from 10a-12p,FOODPANTRY,252-565-4333
GREENE,G1080,G1080MFP,Optimal Beginnings Inc,369-B Hwy 13 S,Snow Hill,28580,4th Tuesday at 3p,DIRECT DST,252-747-3009
PITT,G1081,G1081FP,Paradise Christian Center,908 W Star St,Greenville,27834,Every Tuesday at 11:30am-12:30pm,FOODPANTRY,252-355-0300 Ext 304
PITT,G1082,G1082FP,Pentecostal Temple,2753 W 5th St,Greenville,27834,every Thursday 2p-4p,FOODPANTRY,(252)258-2633
EDGECOMBE,G1086,G1086FP,"Regeneration Development Group, Inc",105 SW 1st St Suite D,Pinetops,27864,3rd Tuesday 9am-12pm,FOODPANTRY,252-227-3991
PITT,G1087,G1087FP,Rose Hill Free Will Baptist,6236 County Home Rd,Winterville,28590,By appointment only,FOODPANTRY,252-746-2415
PITT,G1089,G1089FP,Saints Delight Church of God in Christ,593 US-64-Alternate W,Bethel,27812,"4th Thursday from 9a-12p (TEFAP), 4th Wednesday 9a-11a",FOODPANTRY,252-695-0486
PITT,G1090,G1090FP,Salem United Methodist Church,785 McDonald St,Simpson,27879,1st and 3rd Sat at 10a-12p,FOODPANTRY,252-752-1273
PITT,G1092,G1092FP,Salvation Army-Greenville,2718 S Memorial Dr,Greenville,27834,"2nd & 4th Thursdays 2:00pm, Drive-thru",FOODPANTRY,252-756-3388
PITT,G1094,G1094FP,Senior Home Care Services Inc,1001 Hooker Rd,Greenville,27834,2nd & 4th Thursdays 10am-until,FOODPANTRY,252-756-4869
PITT,G1097,G1097FP,Saint James United Methodist,2006 E 6th St,Greenville,27858,2nd/4th Saturdays 9:00am-10:00am,FOODPANTRY,252-752-6154
PITT,G1098,G1098FP,Saint Paul's Episcopal Church,401 E Fourth St,Greenville,27858,Thurs 1-3,FOODPANTRY,252-752-3482
PITT,G1099,G1099FP,Saint Peter Catholic Church,2700 E 4th St,Greenville,27834,every other Tues 10a.m.-12p.m. (sharp),FOODPANTRY,252-757-3259
WILSON,G1100,G1100MFP,Saint Marks/ La Guadalupana,106 Reid St SE,Wilson,27893,3rd Monday 9-11am and by emergency,DIRECT DST,252-206-9996
WILSON,G1101,G1101FP,Saint Paul Church of Christ,4009 Lake Wilson Rd,Wilson,27896,2nd Friday and 4th Friday at 8 am and emergency calls during the week,FOODPANTRY,252-717-8106
PITT,G1102,G1102FP,Saint Peter's Development Center,1295 E Mumford Rd,Greenville,27834,2/4 Saturday 9a-11a,FOODPANTRY,252-227-1114
PITT,G1103,G1103FP,Staton Mill Road Community,1251 Fleming School Rd,Greenville,27834,4th Friday 5p-7p,FOODPANTRY,252-327-8208
PITT,G1105,G1105FP,Straightway Church,627 Boulevard St,Ayden,28513,Monday through Friday from 2:30p-5:30p,FOODPANTRY,252-746-8565
WILSON,G1107,G1107FP,Tabernacle of God Community,6326 Speight School Rd,Wilson,27893,3rd Saturday 8am-10am,FOODPANTRY,252-315-2249
EDGECOMBE,G1108,G1108FP,Tarboro Community Outreach,701 Cedar Ln,Tarboro,27886,Mon-Thursday 12pm-1pm; Friday 8am-11am,FOODPANTRY,252-823-8801
EDGECOMBE,G1108,G1108MFP,Tarboro Community Outreach,701 Cedar Ln,Tarboro,27886,3rd Tuesday 10a-1p,DIRECT DST,252-823-8801
PITT,G1111,G1111FP,The Anointed Ones Church,4271 N Edge Rd,Ayden,28513,"Mon-Tues 11:30am-12:15pm, Thurs 10a-12p & 1p-4p, Fri 11:30am-12:15pm & Sat. 9am-11am",FOODPANTRY,
PITT,G1112,G1112FP,The Memorial Baptist Church,1510 Greenville Blvd SE,Greenville,27858,"2nd & 4th Tuesdays 1:00pm-2:00pm, Drive-thru",FOODPANTRY,252-714-7373
HALIFAX,G1114,G1114FP,The Way of the Cross Outreach,64 Craigmont Ave,Roanoke Rapids,27870,3rd Sat. 8am-10am,FOODPANTRY,252-535-1276
HALIFAX,G1116,G1116FP,Twilight Missionary Baptist,1781 Aurelian Springs Rd,Weldon,27839,Wednesday after the 2nd Tuesday 9am-12pm and by emergency,FOODPANTRY,252-326-6212
HALIFAX,G1117,G1117FP,"Union Mission, Inc",1310 Roanoke Ave,Roanoke Rapids,27870,Monday - Thursday from 1pm-2pm.,FOODPANTRY,252-537-3372
HALIFAX,G1117,G1117SH,"Union Mission, Inc",1310 Roanoke Ave,Roanoke Rapids,27870,7 days/week and 24 hours per day,SHELTER,252-537-3372
GREENE,G1119,G1119FP,Victory & Dominion,1438 Hwy 13,Snow Hill,28580,1st/3rd Tuesday from 2p-4p and calls,FOODPANTRY,252-367-6527
